StationID,Pl,Pr,S,OI,T,AW
01-AND,0.0,0.0,0.0,0.0,0.0,0.0
01-CNT,0.0,0.07751190531304683,0.0,0.0,0.0,0.0
01-JWT,0.14306938558770607,3.1623543370203926,0.12486773017575147,0.7389440150475701,1.401817696218191,0.47829052271322847
01-MER,0.6974868526114438,0.1926711573257591,0.736713349429769,1.500636048451613,0.1301176726066602,0.1532692557467521
01-MSC,0.0,0.0827048965702886,0.0008162846990044754,0.9233059472467997,0.0,0.35493430206226845
01-SAC,0.0,0.0,0.0,0.0,0.0,0.0
01-SGR,0.0029773584274180474,0.008611067087253458,0.0,0.0,0.0,0.13830873748385225
01-TYB,0.0,0.0,0.0,0.0,0.0,0.0
0100650_E,0.008131814469705036,1.2154102306855865,0.0,0.48534352720492396,0.1213748621242567,0.0
0100650_I,0.011802357592255838,1.8402520919565932,0.0,0.7209821311132646,0.17930321638769853,0.0
01K-HOB,0.0,1.9568200856309093,1.542014814851288,1.242990028044718,0.6893317476469951,0.40779191020128314
01T-MKB,0.12480413777769811,0.12688283109995946,0.0,0.0,0.0,0.0
01T-SOP,0.0,0.0,0.1392224277252121,0.9551782990439135,0.0,0.0
01X-OTB,0.0,0.0,0.0,0.0,0.0,0.0
02-ASH,0.0,0.3003241873629027,0.0,0.0,2.2523660391257468e-05,0.0
02-BBO,0.0,0.11605620536649891,0.0,0.0,0.0,0.0
02-CLD,0.0,0.0,0.0,0.3709447216091432,0.0,0.0
02-CTC,0.6701953163396531,0.77512739241625,0.0,0.0,0.6990686516425703,0.0
02-GNB,0.0,0.0,0.0,0.0,0.0,0.0
02-ISG,0.0,0.5518873328492877,0.0,0.0169728287828457,0.0,0.3461233799239811
02-ISR,0.0,0.0,0.0,0.0,0.0,0.0
02-SHG,1.2824598779188978e-07,0.5425971680749321,0.00014769199259439796,0.03280912084036493,2.7396367056396785e-06,2.8446036851741392e-08
02E-NSR,0.0,0.0,0.0,0.0,0.0,0.0
03-AMM,0.0,0.0,0.0,0.0,0.0,0.0
04-SBB,0.0,0.0,0.0,0.0,0.0,0.0
05-NWL,0.0,0.0,0.0,0.0,0.0,0.0
05-SMS,0.0,0.0,0.0,0.0,0.0,0.00019345298915931283
06-EBS,0.0,0.0,0.0,0.0,0.0,0.0
06-SBR,0.0,0.0,0.0,0.0,0.0,0.0
07-BLM,1.6904081169663592,0.0,1.547978847187725,0.2113966765861863,0.2248648005168768,0.29529009145213736
07-FLT,0.0018876263348237055,0.9843172610769911,0.0012379109918787055,0.006474226674708827,0.0,0.016381279082576847
07T-ISG,0.0,0.0,0.0,0.0,0.0,1.494550299474651e-05
08-MER,0.0,1.9473047337474099,0.3873816700562375,1.032378620678514,0.030071968028194097,0.2048604808578631
09-OYS,0.0003649594935215917,0.0,0.0,0.0,0.0,0.005093960382775845
10-WNR,0.0,0.0,0.0,0.0,0.1896707896538718,0.03719166386399957
1031010010,0.0,0.0319698144015103,0.0,0.0,0.0,0.09823521688492087
1031010011,0.5198310758852323,0.028814902932273456,0.0,0.0,0.0,0.09514483736696441
1176030001,1.2160381053551377,0.3397104054535895,1.2841375089740024,0.7766184205501098,0.6408858061435116,0.0
1279040001,0.00010301309318415718,0.0,0.0,0.14796070488379254,0.0,0.0015067516004904217
1361010003,0.0,0.0,0.0,0.0,0.0,0.12547685492935665
1396060002,0.8646359786563956,0.0,0.0,0.18342962158647294,0.0,0.2364704568703664
1396060501,0.879115474177215,0.0,0.0,0.18803387632034702,0.0,0.2336877311783304
14-ISR,0.0,0.0,0.0,0.0,0.0,0.0
141CHRD,0.015731583253045023,0.0003270347615468495,0.0,0.1830877206428221,0.0,0.0
147CHRD,0.01700220727169846,0.0003533886962636108,0.0,0.19583204716275868,0.0,0.0
15-EXT,2.1559458524872274e-05,0.0,0.0,0.07825769538199603,0.0,0.00031575553262394015
1531010_003,0.2595227312569601,0.39150084961575976,0.0,1.1745576697051974,3.881983797792829e-06,0.06844465878871651
1531010_004,0.41004800057377544,0.4409376403509036,0.0018455775365178557,0.06663438661898981,0.053749440554965305,0.0896278411406849
1531010_005,0.3831392905914555,0.41427702325602445,0.001724362127410375,0.06252234484574008,0.05038271408594767,0.08374030476184625
1531010_007,1.278982212144946,0.4226547075933633,0.9476091119704596,1.4358690565777597,0.4303592669391184,0.0
1531010_008,0.7659066193818058,0.34374312214567965,0.0,0.895622973733368,1.1502896024004592e-05,0.2111528999697164
1531010_009,1.1085606152402485,0.42243367211938365,0.8576047196590543,1.2984576421189893,0.37191816765456964,0.0
1531010_504,0.2595227312569601,0.39150084961575976,0.0,1.1745576697051974,3.881983797792829e-06,0.06844465878871651
1531010_505,0.7909706359404448,0.3620477353085368,0.0,0.9014921434414824,1.1864106938647128e-05,0.2168265104549037
1531010_508,1.1641448408269919,0.4217230482227383,0.8866695262790643,1.3430737063816443,0.39123268865418537,0.0
157CHRD,0.018636766536365968,0.00038722667465575944,0.0,0.2109265466664436,0.0,0.0
15HDD,0.0,0.01672973520837933,0.0,0.0,0.0,0.4500382815219411
1618400-001,0.0,0.0,0.0,0.0,0.0,0.0
162RVR,0.0,0.0,0.0,0.0,0.0,0.0
166DBR,0.0,0.0,0.0,0.0,0.0,0.0
1773020001,0.9476411613088375,0.0,0.1719356329515387,1.0090869297177592,0.0,0.9812872224724426
1773020102,0.9440666724137043,0.0,0.160330444466704,0.9393035838175807,0.0,0.9371087124924515
1777020001,0.0,0.0,0.0,0.0,0.0,0.0
1777040001,0.0,0.0,0.0,0.0,0.0,0.0
